	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
KYNU	0.000000	0.312173534	0.756	0.41	0.000000
POLR2K	0.000000	0.320560151	0.846	0.631	0.000000
KTN1	0.000000	-0.408510296	0.951	0.946	0.000000
KLF5	0.000000	-0.407743229	0.966	0.958	0.000000
C4orf3	0.000000	0.341359253	0.884	0.759	0.000000
NDUFV3	0.000000	0.313895161	0.858	0.634	0.000000
COA3	0.000000	0.284715244	0.772	0.475	0.000000
PNN	0.000000	-0.532136559	0.841	0.83	0.000000
CTSS	0.000000	0.394095207	0.903	0.71	0.000000
EGFR	0.000000	-0.822862803	0.643	0.687	0.000000
TIMP2	0.000000	0.258317015	0.521	0.21	0.000000
ATP6V0E1	0.000000	0.331437623	0.911	0.824	0.000000
EMC6	0.000000	0.256096507	0.8	0.528	0.000000
HN1	0.000000	0.407227343	0.892	0.721	0.000000
TRIM31	0.000000	0.391783683	0.485	0.186	0.000000
EIF5A	0.000000	0.409900344	0.894	0.766	0.000000
CYP26A1	0.000000	-0.578025766	0.101	0.258	0.000000
ANAPC11	0.000000	0.337972687	0.869	0.687	0.000000
CD44	0.000000	-0.837116479	0.71	0.717	0.000000
GPR110	0.000000	0.384764981	0.935	0.718	0.000000
RBP1	0.000000	-0.722667283	0.46	0.586	0.000000
COX8A	0.000000	0.359431231	0.914	0.863	0.000000
C1orf122	0.000000	0.284373644	0.76	0.472	0.000000
PRRC2C	0.000000	-0.353751952	0.942	0.927	0.000000
TMPRSS4	0.000000	-0.474197786	0.934	0.89	0.000000
CTC-425F1.4	0.000000	0.332096135	0.424	0.145	0.000000
KRT19	0.000000	0.467865129	0.986	0.996	0.000000
ALDH1A1	0.000000	0.412318857	0.981	0.972	0.000000
NDUFB9	0.000000	0.316692895	0.913	0.756	0.000000
EPS8L1	0.000000	0.322887454	0.826	0.538	0.000000
BLVRB	0.000000	0.396228959	0.88	0.735	0.000000
B3GNT7	0.000000	0.281109489	0.744	0.413	0.000000
SERPINB1	0.000000	0.490743498	0.879	0.707	0.000000
MSLN	0.000000	0.281490902	0.812	0.496	0.000000
VPS29	0.000000	0.273416096	0.873	0.677	0.000000
PTPN13	0.000000	-0.560357377	0.816	0.827	0.000000
MX2	0.000000	0.256917315	0.52	0.213	0.000000
AURKAIP1	0.000000	0.313721644	0.898	0.772	0.000000
SYNE2	0.000000	-0.528214135	0.906	0.882	0.000000
MPC2	0.000000	0.309243595	0.835	0.61	0.000000
DEGS2	0.000000	0.31416084	0.757	0.456	0.000000
GDPD3	0.000000	0.278818582	0.605	0.286	0.000000
ASS1	0.000000	0.502962726	0.936	0.842	0.000000
SEC11C	0.000000	0.402769483	0.861	0.673	0.000000
TIMM8B	0.000000	0.30331659	0.874	0.697	0.000000
TMEM238	0.000000	0.317785776	0.879	0.597	0.000000
LINC01133	0.000000	0.290389136	0.708	0.403	0.000000
RBM39	0.000000	-0.408118069	0.936	0.903	0.000000
TYMP	0.000000	0.528794804	0.864	0.679	0.000000
ANXA4	0.000000	0.307714201	0.839	0.599	0.000000
TUBA1C	0.000000	0.335530172	0.868	0.632	0.000000
LDLR	0.000000	0.336744117	0.546	0.254	0.000000
BIRC3	0.000000	0.339374169	0.644	0.33	0.000000
MYO1B	0.000000	0.284116322	0.762	0.47	0.000000
ITGB4	0.000000	-0.67367559	0.635	0.666	0.000000
PTGR1	0.000000	0.269804173	0.716	0.418	0.000000
EZR	0.000000	0.416407716	0.96	0.92	0.000000
REEP5	0.000000	0.289180283	0.923	0.835	0.000000
CTSH	0.000000	0.361656739	0.845	0.589	0.000000
TMEM208	0.000000	0.315772601	0.861	0.655	0.000000
SKP1	0.000000	0.300973534	0.95	0.917	0.000000
EDF1	0.000000	0.312386681	0.92	0.863	0.000000
SPDEF	0.000000	0.265660053	0.752	0.435	0.000000
MRPS34	0.000000	0.276981042	0.848	0.59	0.000000
RPS28	0.000000	0.412130398	0.956	0.986	0.000000
MRP63	0.000000	0.316806281	0.878	0.728	0.000000
PPIC	0.000000	0.252905949	0.842	0.62	0.000000
HSP90AA1	0.000000	-0.510502853	0.955	0.972	0.000000
RP11-526F3.1	0.000000	0.267407484	0.444	0.168	0.000000
NDUFB10	0.000000	0.337963628	0.89	0.725	0.000000
NDUFB2	0.000000	0.32176024	0.917	0.827	0.000000
HNRNPU	0.000000	-0.479926813	0.914	0.91	0.000000
GALNT7	0.000000	0.314941452	0.83	0.568	0.000000
H2AFZ	0.000000	0.392938647	0.896	0.803	0.000000
SSR3	0.000000	0.302751132	0.855	0.631	0.000000
ADRM1	0.000000	0.288521389	0.828	0.585	0.000000
IFIT3	0.000000	0.253538728	0.612	0.283	0.000000
SRRM2	0.000000	-0.349068063	0.943	0.913	0.000000
SAA4	0.000000	0.250720569	0.385	0.12	0.000000
UBB	0.000000	0.359915453	0.921	0.913	0.000000
ANXA1	0.000000	0.606634344	0.964	0.975	0.000000
BTG2	0.000000	-0.641240057	0.304	0.463	0.000000
LAMTOR2	0.000000	0.27759786	0.82	0.587	0.000000
MACF1	0.000000	-0.453772173	0.788	0.789	0.000000
DEFB4A	0.000000	0.497401453	0.304	0.066	0.000000
TNS4	0.000000	-0.317099631	0.112	0.263	0.000000
COX6B1	0.000000	0.330834973	0.938	0.915	0.000000
NDUFB11	0.000000	0.312215102	0.904	0.787	0.000000
C9orf16	0.000000	0.365731264	0.874	0.763	0.000000
PTP4A2	0.000000	0.325900334	0.941	0.82	0.000000
NIPBL	0.000000	-0.402284108	0.821	0.824	0.000000
KRT18	0.000000	0.354878614	0.963	0.961	0.000000
BHLHE40	0.000000	-0.523124715	0.65	0.692	0.000000
SERP1	0.000000	0.32522339	0.92	0.835	0.000000
METTL9	0.000000	0.257036036	0.832	0.59	0.000000
MLPH	0.000000	0.301808295	0.867	0.558	0.000000
C11orf58	0.000000	0.277927492	0.919	0.782	0.000000
NDUFB7	0.000000	0.30493845	0.908	0.837	0.000000
YBX3	0.000000	-0.479736503	0.897	0.877	0.000000
PPCS	0.000000	0.269483422	0.877	0.67	0.000000
SRI	0.000000	0.346665852	0.896	0.777	0.000000
LUC7L3	0.000000	-0.468177295	0.858	0.824	0.000000
CBR3	0.000000	0.311465838	0.484	0.211	0.000000
ARL4C	0.000000	-0.383065346	0.161	0.317	0.000000
ANK3	0.000000	-0.493891341	0.808	0.801	0.000000
FAM177A1	0.000000	0.267034545	0.878	0.69	0.000000
FKBP2	0.000000	0.329027309	0.921	0.787	0.000000
AQP5	0.000000	0.621583559	0.936	0.875	0.000000
LAMP1	0.000000	-0.480821455	0.904	0.879	0.000000
LIPH	0.000000	0.355006851	0.898	0.63	0.000000
ARPC1B	0.000000	0.342873188	0.856	0.689	0.000000
HLA-DRA	0.000000	0.493277882	0.864	0.696	0.000000
TTC9	0.000000	0.256821343	0.785	0.487	0.000000
MRPL51	0.000000	0.264343846	0.884	0.699	0.000000
GTF2I	0.000000	-0.443786868	0.906	0.873	0.000000
TSPAN3	0.000000	0.300268299	0.938	0.828	0.000000
SLC25A3	0.000000	0.337617919	0.94	0.894	0.000000
BAG1	0.000000	0.344940851	0.94	0.858	0.000000
RAB11A	0.000000	0.300204518	0.923	0.787	0.000000
UQCC2	0.000000	0.282051543	0.853	0.637	0.000000
RER1	0.000000	0.256797992	0.888	0.73	0.000000
MRPS36	0.000000	0.260383999	0.806	0.573	0.000000
AMD1	0.000000	0.321491278	0.858	0.601	0.000000
MYL12A	0.000000	0.322777253	0.932	0.901	0.000000
GLIPR1	0.000000	-0.261245319	0.08	0.21	0.000000
PLS1	0.000000	0.289205136	0.819	0.539	0.000000
ATP6V0B	0.000000	0.387471127	0.898	0.811	0.000000
HSPA8	0.000000	0.415930618	0.915	0.823	0.000000
LGI1	0.000000	0.276570576	0.411	0.146	0.000000
ARHGAP5	0.000000	-0.399261928	0.874	0.851	0.000000
MMP24-AS1	0.000000	0.290602494	0.839	0.62	0.000000
B4GALT5	0.000000	0.416311498	0.913	0.754	0.000000
DUOXA2	0.000000	0.593276916	0.596	0.303	0.000000
MORF4L1	0.000000	0.267493561	0.936	0.869	0.000000
SLC6A6	0.000000	-0.553452462	0.831	0.821	0.000000
HLF	0.000000	-0.42117423	0.27	0.428	0.000000
CLCA4	0.000000	-0.902767654	0.224	0.389	0.000000
C14orf166	0.000000	0.261699875	0.875	0.703	0.000000
ARHGDIB	0.000000	0.364971482	0.799	0.6	0.000000
GSTA1	0.000000	0.692239823	0.771	0.544	0.000000
GABARAPL2	0.000000	0.321559254	0.864	0.718	0.000000
NDUFC2	0.000000	0.289303919	0.917	0.834	0.000000
WDR83OS	0.000000	0.332664265	0.875	0.725	0.000000
TRAM1	0.000000	0.320068017	0.91	0.768	0.000000
SERPINB5	0.000000	-0.427737056	0.194	0.351	0.000000
GOLGB1	0.000000	-0.415905687	0.949	0.927	0.000000
RPL36A	0.000000	0.366744766	0.902	0.799	0.000000
ANKRD12	0.000000	-0.519205803	0.895	0.845	0.000000
TMC5	0.000000	0.323111492	0.927	0.68	0.000000
HIST1H4C	0.000000	0.28080467	0.717	0.439	0.000000
HMGA1	0.000000	0.294167173	0.839	0.597	0.000000
OCIAD2	0.000000	0.291428321	0.871	0.746	0.000000
AHNAK	0.000000	-0.455890269	0.952	0.959	0.000000
DNAJA1	0.000000	0.367852204	0.918	0.77	0.000000
F3	0.000000	0.380550105	0.989	0.962	0.000000
SMDT1	0.000000	0.269612853	0.85	0.679	0.000000
ZNF428	0.000000	0.310543699	0.913	0.79	0.000000
GFPT1	0.000000	0.290704771	0.854	0.62	0.000000
CREB3L1	0.000000	0.309129296	0.877	0.652	0.000000
HMGB3	0.000000	0.310990634	0.756	0.472	0.000000
CARHSP1	0.000000	0.335936582	0.842	0.635	0.000000
ANXA5	0.000000	0.334704738	0.883	0.737	0.000000
SEMA4B	0.000000	-0.521190737	0.451	0.556	0.000000
PSMA3	0.000000	0.274959822	0.903	0.79	0.000000
SF1	0.000000	-0.373713104	0.878	0.83	0.000000
MGEA5	0.000000	-0.402598235	0.772	0.759	0.000000
NDUFB3	0.000000	0.283964569	0.885	0.731	0.000000
PSMD7	0.000000	0.267345437	0.849	0.624	0.000000
LAP3	0.000000	0.288834587	0.824	0.575	0.000000
AHNAK2	0.000000	-0.392543204	0.173	0.327	0.000000
GTF2A2	0.000000	0.259113433	0.823	0.607	0.000000
HIST1H1C	0.000000	0.341056276	0.661	0.382	0.000000
KRT23	0.000000	0.4032496	0.787	0.528	0.000000
C19orf53	0.000000	0.287933662	0.861	0.732	0.000000
MDH2	0.000000	0.28947355	0.884	0.737	0.000000
TMEM167A	0.000000	0.256743426	0.843	0.62	0.000000
SNX3	0.000000	0.261767932	0.868	0.68	0.000000
CCND1	0.000000	0.33594495	0.831	0.597	0.000000
ANKRD11	0.000000	-0.419416569	0.849	0.828	0.000000
SRD5A3	0.000000	0.327143895	0.784	0.525	0.000000
DDX17	0.000000	-0.381759497	0.94	0.901	0.000000
CHD9	0.000000	-0.439460365	0.858	0.832	0.000000
CIB1	0.000000	0.361201253	0.883	0.839	0.000000
PBX1	0.000000	-0.472617507	0.768	0.77	0.000000
AKR1B10	0.000000	0.340966648	0.538	0.268	0.000000
SPCS2	0.000000	0.296303813	0.925	0.821	0.000000
NUCB2	0.000000	0.411388704	0.894	0.723	0.000000
AP2S1	0.000000	0.27723188	0.833	0.617	0.000000
HLA-DRB5	0.000000	0.441311199	0.626	0.376	0.000000
CHMP4B	0.000000	0.256922158	0.893	0.749	0.000000
EID1	0.000000	0.313712	0.936	0.858	0.000000
ATP5O	0.000000	0.292541001	0.901	0.813	0.000000
FER1L6	0.000000	0.341344903	0.777	0.479	0.000000
IRAK3	0.000000	0.254486113	0.821	0.531	0.000000
OAZ1	0.000000	0.325614326	0.894	0.879	0.000000
BTG1	0.000000	-0.602550084	0.901	0.917	0.000000
DDT	0.000000	0.285642498	0.843	0.625	0.000000
PROM1	0.000000	0.26764353	0.701	0.392	0.000000
SPATS2L	0.000000	0.330047226	0.888	0.703	0.000000
CRIP1	0.000000	0.376521031	0.407	0.182	0.000000
BRK1	0.000000	0.26379724	0.856	0.679	0.000000
DDR1	0.000000	-0.422988727	0.889	0.863	0.000000
ARSD	0.000000	-0.460146706	0.598	0.645	0.000000
CMPK1	0.000000	0.295319051	0.924	0.8	0.000000
JUP	0.000000	-0.431180223	0.867	0.835	0.000000
TRIM29	0.000000	-0.5243934	0.845	0.838	0.000000
PRSS22	0.000000	0.338708009	0.841	0.631	0.000000
CNPY2	0.000000	0.260276713	0.865	0.679	0.000000
CHD2	0.000000	-0.429795915	0.849	0.82	0.000000
CFL1	0.000000	0.262777082	0.932	0.934	0.000000
CSTA	0.000000	0.447382176	0.872	0.72	0.000000
MPC1	0.000000	0.253621098	0.819	0.628	0.000000
FGFBP1	0.000000	0.341788118	0.355	0.13	0.000000
OAT	0.000000	0.280505687	0.925	0.814	0.000000
ATP1B1	0.000000	0.368616287	0.987	0.963	0.000000
C19orf43	0.000000	0.254477426	0.898	0.773	0.000000
NDUFA4	0.000000	0.384106288	0.918	0.894	0.000000
ACOT11	0.000000	-0.298427172	0.224	0.373	0.000000
N4BP2L2	0.000000	-0.37529814	0.903	0.863	0.000000
CTNND1	0.000000	-0.316013817	0.914	0.886	0.000000
LINC00342	0.000000	0.258659532	0.741	0.438	0.000000
DGKH	0.000000	-0.469741558	0.702	0.724	0.000000
TSHZ2	0.000000	-0.455400587	0.882	0.83	0.000000
CYP4B1	0.000000	-0.679522434	0.901	0.882	0.000000
SDC1	0.000000	-0.520960555	0.898	0.872	0.000000
NDUFS6	0.000000	0.272892592	0.906	0.776	0.000000
HSPB1	0.000000	-0.746579214	0.968	0.985	0.000000
ASH1L	0.000000	-0.381337765	0.841	0.815	0.000000
IFI44	0.000000	0.25825734	0.78	0.501	0.000000
BZW1	0.000000	0.303852085	0.947	0.855	0.000000
SAP18	0.000000	0.282381921	0.921	0.859	0.000000
COX4I1	0.000000	0.293163283	0.931	0.928	0.000000
NFIB	0.000000	-0.407781627	0.858	0.83	0.000000
OGFRL1	0.000000	-0.500797956	0.747	0.734	0.000000
C19orf70	0.000000	0.256230124	0.845	0.651	0.000000
CEP68	0.000000	-0.409709344	0.28	0.404	0.000000
ATRX	0.000000	-0.419967505	0.882	0.862	0.000000
DLG5	0.000000	-0.446866048	0.525	0.586	0.000000
IGF1R	0.000000	-0.400998592	0.75	0.739	0.000000
ADAM9	0.000000	0.254096417	0.848	0.611	0.000000
C1orf63	0.000000	-0.387183193	0.856	0.813	0.000000
TIMP3	0.000000	-0.421007981	0.179	0.323	0.000000
HS3ST1	0.000000	0.313136522	0.819	0.59	0.000000
SFPQ	0.000000	-0.306634203	0.923	0.89	0.000000
JAG1	0.000000	-0.468296193	0.384	0.494	0.000000
TPR	0.000000	-0.391555348	0.871	0.846	0.000000
SAMD9	0.000000	0.26012352	0.739	0.459	0.000000
MUC2	0.000000	0.960740234	0.357	0.151	0.000000
PRDX2	0.000000	0.268141084	0.885	0.727	0.000000
RB1CC1	0.000000	-0.402299455	0.804	0.779	0.000000
TMEM123	0.000000	-0.447926894	0.912	0.883	0.000000
GAPDH	0.000000	0.37290347	0.946	0.973	0.000000
RBM25	0.000000	-0.339897615	0.909	0.882	0.000000
PLP2	0.000000	-0.701580843	0.411	0.503	0.000000
SOX7	0.000000	-0.315654571	0.125	0.251	0.000000
CD81	0.000000	-0.759634562	0.907	0.892	0.000000
SNRNP200	0.000000	-0.348257181	0.807	0.783	0.000000
DNAJC3	0.000000	0.317372555	0.891	0.73	0.000000
DBI	0.000000	0.292764829	0.902	0.837	0.000000
ALDH3A2	0.000000	-0.467467354	0.839	0.801	0.000000
UQCRB	0.000000	0.276172691	0.943	0.892	0.000000
KIAA1217	0.000000	-0.390216523	0.804	0.762	0.000000
SRGAP3	0.000000	-0.428866416	0.636	0.658	0.000000
RPL27	0.000000	0.275422381	0.946	0.931	0.000000
S100A2	0.000000	-0.928382181	0.443	0.545	0.000000
MT1E	0.000000	0.389072724	0.749	0.521	0.000000
YBX1	0.000000	0.277774419	0.936	0.913	0.000000
SPEN	0.000000	-0.379981302	0.66	0.682	0.000000
GALNT12	0.000000	0.253515296	0.863	0.645	0.000000
WARS	0.000000	0.446545552	0.707	0.454	0.000000
NUCKS1	0.000000	-0.419097426	0.921	0.889	0.000000
SVOPL	0.000000	-0.313030065	0.099	0.215	0.000000
BAZ2B	0.000000	-0.358194908	0.821	0.785	0.000000
CLDN1	0.000000	-0.517710465	0.714	0.746	0.000000
NEAT1	0.000000	-0.713650359	0.952	0.887	0.000000
AQP3	0.000000	-0.658525691	0.984	0.997	0.000000
ARHGEF12	0.000000	-0.356781476	0.795	0.768	0.000000
ANXA11	0.000000	0.254047009	0.949	0.882	0.000000
PRDX6	0.000000	0.298115909	0.91	0.831	0.000000
PTRF	0.000000	-0.252897461	0.062	0.162	0.000000
MEIS1	0.000000	-0.406196874	0.592	0.628	0.000000
CES1	0.000000	-0.794792195	0.181	0.314	0.000000
SELK	0.000000	0.251297164	0.863	0.708	0.000000
RPS27	0.000000	0.310425515	0.935	0.975	0.000000
SERTAD4	0.000000	-0.340989759	0.183	0.307	0.000000
GABRP	0.000000	0.351526358	0.929	0.783	0.000000
TFCP2L1	0.000000	-0.573679576	0.824	0.786	0.000000
MT-ATP8	0.000000	-0.417963593	0.755	0.821	0.000000
FAM107A	0.000000	-0.376319923	0.306	0.437	0.000000
MALAT1	0.000000	-0.409437186	0.924	0.961	0.000000
PRPF38B	0.000000	-0.41707207	0.821	0.787	0.000000
SLC26A2	0.000000	-0.621410783	0.659	0.68	0.000000
ACSL3	0.000000	0.289119281	0.907	0.749	0.000000
ATP2A2	0.000000	-0.310333885	0.874	0.838	0.000000
CAPN13	0.000000	0.368622776	0.737	0.507	0.000000
HLA-DPA1	0.000000	0.321462844	0.594	0.365	0.000000
SETD2	0.000000	-0.388780974	0.712	0.694	0.000000
BCLAF1	0.000000	-0.3316185	0.892	0.841	0.000000
KMT2C	0.000000	-0.373584005	0.804	0.785	0.000000
LMAN1	0.000000	0.309519703	0.88	0.741	0.000000
RPL4	0.000000	-0.536668898	0.918	0.937	0.000000
RAB11FIP1	0.000000	0.352167239	0.921	0.77	0.000000
NUFIP2	0.000000	-0.345153723	0.845	0.803	0.000000
PRDX5	0.000000	0.295829	0.882	0.848	0.000000
CYSTM1	0.000000	0.271232049	0.836	0.697	0.000000
PTPRZ1	0.000000	-0.438462531	0.664	0.686	0.000000
CFLAR	0.000000	-0.345895186	0.841	0.807	0.000000
MAFB	0.000000	-0.451063987	0.232	0.348	0.000000
FGFR3	0.000000	-0.743769437	0.494	0.537	0.000000
PTMS	0.000000	-0.744189051	0.791	0.734	0.000000
FOS	0.000000	-1.008678289	0.406	0.531	0.000000
LRRFIP1	0.000000	-0.337627058	0.917	0.885	0.000000
MKL2	0.000000	-0.41845661	0.692	0.694	0.000000
LYPD3	0.000000	-0.635717982	0.285	0.39	0.000000
RPN2	0.000000	0.254067646	0.919	0.799	0.000000
PIK3R1	0.000000	-0.382411356	0.609	0.62	0.000000
HSPA9	0.000000	-0.329757177	0.848	0.81	0.000000
APP	0.000000	-0.384363368	0.873	0.832	0.000000
LGALS8	0.000000	-0.319823775	0.809	0.756	0.000000
HIF1A	0.000000	-0.523339861	0.662	0.641	0.000000
LNPEP	0.000000	-0.357553959	0.681	0.672	0.000000
IGSF3	0.000000	-0.268458629	0.161	0.276	0.000000
EGR1	0.000000	-0.65805615	0.215	0.334	0.000000
FTH1	0.000000	0.72812886	0.89	0.977	0.000000
TSC22D1	0.000000	-0.383109324	0.876	0.846	0.000000
RIF1	0.000000	-0.392420899	0.669	0.668	0.000000
NFIX	0.000000	-0.412035808	0.684	0.673	0.000000
NUMA1	0.000000	-0.294154624	0.734	0.708	0.000000
HP1BP3	0.000000	-0.333277079	0.864	0.807	0.000000
IQGAP1	0.000000	-0.335578583	0.9	0.859	0.000000
ZNF703	0.000000	-0.342334917	0.469	0.524	0.000000
RPS4X	0.000000	-0.834830874	0.933	0.962	0.000000
BOD1L1	0.000000	-0.398066823	0.84	0.77	0.000000
UBE2G2	0.000000	-0.337280476	0.734	0.693	0.000000
FSCN1	0.000000	-0.266539981	0.061	0.148	0.000000
AKR1C1	0.000000	0.54071582	0.858	0.721	0.000000
FAM107B	0.000000	0.287206402	0.968	0.921	0.000000
ALCAM	0.000000	0.256462932	0.97	0.918	0.000000
GNPTAB	0.000000	-0.338023112	0.705	0.69	0.000000
PHIP	0.000000	-0.357342621	0.782	0.761	0.000000
PFN1	0.000000	0.251288842	0.903	0.925	0.000000
HNRNPA3	0.000000	-0.271686598	0.942	0.931	0.000000
SHPRH	0.000000	-0.379411326	0.625	0.631	0.000000
CAST	0.000000	-0.30773994	0.965	0.956	0.000000
SYT8	0.000000	0.267975084	0.632	0.406	0.000000
SCAF11	0.000000	-0.328305594	0.917	0.872	0.000000
MYL9	0.000000	-0.4164352	0.121	0.224	0.000000
DUSP6	0.000000	-0.320513653	0.234	0.345	0.000000
SMG6	0.000000	-0.321987501	0.603	0.625	0.000000
PRRG4	0.000000	-0.40826051	0.751	0.718	0.000000
HNRNPH1	0.000000	-0.35466506	0.916	0.855	0.000000
CD46	0.000000	-0.346343993	0.917	0.872	0.000000
FMO2	0.000000	-0.544972209	0.248	0.369	0.000000
MED13L	0.000000	-0.323075774	0.644	0.652	0.000000
MEIS2	0.000000	-0.387991571	0.833	0.782	0.000000
MYCBP2	0.000000	-0.426415748	0.804	0.755	0.000000
KRT8	0.000000	-0.59931772	0.953	0.965	0.000000
IGFBP5	0.000000	-0.270144977	0.083	0.18	0.000000
PABPC1	0.000000	-0.380207925	0.96	0.955	0.000000
CD9	0.000000	-0.548753156	0.963	0.977	0.000000
SERPINB13	0.000000	-0.695428736	0.262	0.361	0.000000
TNS1	0.000000	-0.298017711	0.263	0.369	0.000000
CLK1	0.000000	-0.302754248	0.602	0.617	0.000000
BPTF	0.000000	-0.318065049	0.848	0.78	0.000000
COL4A5	0.000000	-0.331588586	0.261	0.358	0.000000
ZNF292	0.000000	-0.348108273	0.785	0.735	0.000000
ZFAND5	0.000000	-0.282114716	0.872	0.854	0.000000
ARGLU1	0.000000	-0.308791373	0.916	0.852	0.000000
CENPC	0.000000	-0.322551521	0.729	0.693	0.000000
RNPC3	0.000000	-0.287547411	0.634	0.638	0.000000
DYNC1H1	0.000000	-0.268773842	0.851	0.808	0.000000
LRP1	0.000000	-0.409015	0.276	0.368	0.000000
RPS13	0.000000	0.254610375	0.927	0.944	0.000000
KIDINS220	0.000000	-0.350441151	0.663	0.652	0.000000
DDX42	0.000000	-0.275064231	0.789	0.751	0.000000
TUBA1B	0.000000	0.257164439	0.83	0.71	0.000000
PRPF4B	0.000000	-0.303085596	0.9	0.842	0.000000
SREK1	0.000000	-0.313894373	0.815	0.751	0.000000
SCGB3A1	0.000000	-2.363901985	0.237	0.352	0.000000
CREBRF	0.000000	-0.348394763	0.593	0.603	0.000000
DYNC1LI2	0.000000	-0.326080358	0.87	0.799	0.000000
IER2	0.000000	-0.715531245	0.782	0.756	0.000000
NFAT5	0.000000	-0.2931571	0.862	0.814	0.000000
TNRC6B	0.000000	-0.294620962	0.892	0.823	0.000000
PCM1	0.000000	-0.311239203	0.835	0.786	0.000000
MAST4	0.000000	-0.380260035	0.698	0.649	0.000000
TUG1	0.000000	-0.260974423	0.678	0.665	0.000000
CDK12	0.000000	-0.293500881	0.713	0.675	0.000000
TNFSF10	0.000000	0.344529887	0.97	0.945	0.000000
VAV3	0.000000	-0.3238925	0.248	0.344	0.000000
BRWD1	0.000000	-0.336386819	0.734	0.699	0.000000
PLEC	0.000000	-0.279490151	0.793	0.742	0.000000
GPATCH8	0.000000	-0.304187483	0.619	0.613	0.000000
ZNF638	0.000000	-0.293525621	0.802	0.755	0.000000
ZBTB44	0.000000	-0.317558759	0.648	0.631	0.000000
KMT2E	0.000000	-0.264674868	0.861	0.813	0.000000
BRD4	0.000000	-0.269581333	0.786	0.742	0.000000
PLEKHH3	0.000000	-0.394745411	0.547	0.555	0.000000
S100A8	0.000000	0.496075106	0.202	0.358	0.000000
GLTSCR2	0.000000	-0.471461289	0.826	0.779	0.000000
CCNL1	0.000000	-0.304271601	0.761	0.72	0.000000
KMT2A	0.000000	-0.28297745	0.776	0.731	0.000000
EXPH5	0.000000	-0.308515227	0.804	0.765	0.000000
SLC38A2	0.000000	-0.363194187	0.897	0.845	0.000000
SIK1	0.000000	-0.259612748	0.311	0.401	0.000000
PTPRS	0.000000	-0.310467391	0.488	0.534	0.000000
ACAP2	0.000000	-0.335621889	0.845	0.775	0.000000
BRD2	0.000000	-0.263840395	0.854	0.787	0.000000
ILF3	0.000000	-0.28900534	0.768	0.725	0.000000
RAD21	0.000000	-0.287277562	0.785	0.714	0.000000
AGL	0.000000	-0.384952104	0.641	0.628	0.000000
ERBB2	0.000000	-0.293207492	0.861	0.79	0.000000
EIF4A2	0.000000	-0.302283749	0.866	0.81	0.000000
LGALS7B	0.000000	-0.367957023	0.177	0.272	0.000000
UBC	0.000000	-0.268337542	0.957	0.977	0.000000
KLHL24	0.000000	-0.335297423	0.721	0.68	0.000000
ZFP36	0.000000	-0.555730024	0.67	0.655	0.000000
LINC00910	0.000000	-0.279727642	0.223	0.318	0.000000
RASSF6	0.000000	-0.504074723	0.422	0.463	0.000000
MDM4	0.000000	-0.303223021	0.8	0.745	0.000000
CALD1	0.000000	-0.493079863	0.127	0.214	0.000000
CANX	0.000000	-0.254122012	0.931	0.913	0.000000
EPHA4	0.000000	-0.300196659	0.255	0.345	0.000000
GPR56	0.000000	-0.31484126	0.774	0.721	0.000000
RBL2	0.000000	-0.256559395	0.605	0.604	0.000000
MMP10	0.000000	0.326864399	0.438	0.262	0.000000
KRT13	0.000000	-0.770994347	0.13	0.223	0.000000
RICTOR	0.000000	-0.28362159	0.652	0.639	0.000000
KDM5A	0.000000	-0.289593541	0.763	0.724	0.000000
ZNF326	0.000000	-0.336478763	0.862	0.801	0.000000
SMC5	0.000000	-0.304319419	0.762	0.737	0.000000
ABCC5	0.000000	-0.398060048	0.452	0.479	0.000000
LRIG1	0.000000	-0.285314227	0.55	0.549	0.000000
SULT1E1	0.000000	-0.303093913	0.153	0.242	0.000000
SMG1	0.000000	-0.296187453	0.805	0.755	0.000000
LTB4R	0.000000	-0.266535911	0.164	0.252	0.000000
HES1	0.000000	0.272963835	0.85	0.713	0.000000
ZC3H6	0.000000	-0.317644654	0.5	0.515	0.000000
DGKA	0.000000	-0.362296486	0.608	0.586	0.000000
DHX9	0.000000	-0.278953202	0.758	0.718	0.000000
H6PD	0.000000	-0.28135576	0.761	0.718	0.000000
PCDH7	0.000000	-0.358467663	0.429	0.473	0.000000
RP11-349A22.5	0.000000	-0.286399934	0.709	0.665	0.000000
CREBBP	0.000000	-0.270193361	0.665	0.637	0.000000
CHD6	0.000000	-0.271599413	0.748	0.71	0.000000
DDI2	0.000000	-0.27421088	0.67	0.648	0.000000
ZCCHC11	0.000000	-0.305148949	0.595	0.599	0.000000
ZNF91	0.000000	-0.346740676	0.756	0.713	0.000000
CIRBP	0.000000	-0.252151362	0.916	0.882	0.000000
MUC5B	0.000000	0.343839636	0.168	0.056	0.000000
RERE	0.000000	-0.260543178	0.807	0.761	0.000000
USP34	0.000000	-0.285456304	0.845	0.785	0.000000
SIX1	0.000000	-0.285154556	0.792	0.723	0.000000
PCLO	0.000000	-0.376089377	0.579	0.585	0.000000
SETX	0.000000	-0.340342028	0.722	0.673	0.000000
IFITM2	0.000000	0.509277622	0.555	0.506	0.000000
SRSF7	0.000000	-0.292068713	0.825	0.775	0.000000
PPAP2B	0.000000	-0.397011356	0.422	0.454	0.000000
